time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/clip_range,train/n_updates,train/explained_variance,train/approx_kl,train/loss,train/clip_fraction,train/entropy_loss,shield/transition_timestep,shield/delta,shield/stage
6,227.61,49152,0.08149999380111694,1,7152,,,,,,,,,,,,,
18,223.0,98304,0.1435714215040207,2,5334,-0.00300028438729593,0.0009575066271509059,0.0003,0.2,10,-0.0021865367889404297,0.0093430765,-0.02063940279185772,0.049249267578125,-1.938794249544541,,,
32,192.05,147456,0.2609642744064331,3,4541,-0.006627844272164414,0.0016766585529694566,0.0003,0.2,20,0.3664993643760681,0.012350547,0.002398604992777109,0.10015055338541666,-1.91915015814205,100008,0.8,0
43,146.02,196608,0.44982144236564636,4,4518,-0.009982516855537445,0.003446752852384331,0.0003,0.2,30,0.4744163155555725,0.009211539,-0.017203886061906815,0.12054646809895833,-1.8822829853122434,,,
58,117.55,245760,0.5781785845756531,5,4220,-0.012543014517359553,0.00654195652253596,0.0003,0.2,40,0.5371907949447632,0.011502895,0.005759014748036861,0.13359375,-1.8329631272703408,200016,0.6,1
69,94.77,294912,0.6519642472267151,6,4269,-0.015339351889754957,0.009482167290358726,0.0003,0.2,50,0.6036988496780396,0.012090393,-0.006976509001106024,0.170794677734375,-1.7829107073446115,,,
84,72.06,344064,0.7262142896652222,7,4062,-0.017368410481261285,0.010963839326965779,0.0003,0.2,60,0.6466147899627686,0.01347543,-0.005087380297482014,0.19501139322916666,-1.7032395995532472,300000,0.4,2
95,56.88,393216,0.7880357503890991,8,4105,-0.020861476846403094,0.012704354366966679,0.0003,0.2,70,0.6302919387817383,0.014843059,-0.01737326569855213,0.22404378255208332,-1.5876361462598045,,,
111,48.53,442368,0.7997142672538757,9,3970,-0.022863122981713484,0.010732733827414147,0.0003,0.2,80,0.6424099206924438,0.017464386,-0.03238765895366669,0.272930908203125,-1.4293339760974049,400008,0.2,3
122,40.13,491520,0.8477499485015869,10,4012,-0.019936832514910446,0.010592982205707813,0.0003,0.2,90,0.5726380348205566,0.019697232,-0.03606930002570152,0.24085693359375,-1.2699662515272696,,,
136,35.5,540672,0.7980356812477112,11,3969,-0.015428723151186811,0.008478721707312313,0.0003,0.2,100,0.5736851096153259,0.016160794,-0.001215228345245123,0.19062906901041668,-1.083235985164841,,,
