time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/n_updates,train/clip_range,train/clip_fraction,train/learning_rate,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/value_loss,train/explained_variance,shield_cutoff_timestep
49152,8,1,161.82,0.25958335399627686,6048,,,,,,,,,,,
98304,19,2,142.27,0.29927778244018555,5060,10,0.2,0.055867513020833336,0.0003,-1.9352154394611716,0.012846219,-0.0025029173032938465,-0.0052524348720908165,0.0034298310595659133,0.008966565132141113,
147456,31,3,142.34,0.3487499952316284,4726,20,0.2,0.05526326497395833,0.0003,-1.9020650771756966,0.0065673827,-0.00507913070153639,-0.008373640477657318,0.005625358963637458,0.4372186064720154,
196608,42,4,120.83,0.45811110734939575,4620,30,0.2,0.09127604166666667,0.0003,-1.8815587831661105,0.010655832,-0.007289574412122117,-0.007134220562875271,0.007051014951503021,0.5694878697395325,
245760,54,5,101.15,0.5338610410690308,4522,40,0.2,0.11710001627604166,0.0003,-1.835843750089407,0.0104802055,-0.008877572794396353,-0.0034636063501238823,0.008775041170156327,0.6416381597518921,
294912,69,6,67.49,0.02455555461347103,4228,50,0.2,0.125994873046875,0.0003,-1.7652895608916879,0.012360349,-0.010092215330405451,-0.002256934065371752,0.010323005203341987,0.6607984900474548,250008
344064,79,7,66.47,0.12700000405311584,4304,60,0.2,0.13183186848958334,0.0003,-1.7469203680753709,0.012467101,-0.009550891222897918,-0.0038816200103610754,0.00633469621874004,0.46733957529067993,
393216,90,8,93.32,0.2084999978542328,4368,70,0.2,0.15338338216145833,0.0003,-1.685897614620626,0.012416416,-0.011210736100838403,-0.015398229472339153,0.006247020792701127,0.5474095344543457,
442368,100,9,84.66,0.28041666746139526,4408,80,0.2,0.15910441080729168,0.0003,-1.6134987918660044,0.012438917,-0.01176434629845365,-0.010152989067137241,0.00811886890490617,0.5067093968391418,
491520,110,10,74.68,0.4693055748939514,4439,90,0.2,0.14446614583333334,0.0003,-1.529235705981652,0.011790981,-0.010941053469772062,-0.004266740288585424,0.010422050027167036,0.4896986484527588,
540672,123,11,68.14,0.5254444479942322,4375,100,0.2,0.14583536783854167,0.0003,-1.406206625017027,0.011677474,-0.010480824522892363,-0.020131316035985947,0.013911743679394325,0.5144668817520142,
