time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,train/loss,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/explained_variance,train/approx_kl,train/clip_range
49152,0.012250000610947609,1,97.67,6,8051,,,,,,,,,,
98304,0.023892857134342194,2,90.47,15,6253,-0.02094016969203949,-0.0037058193679816516,-1.9372396423170963,0.00018076238690033127,0.08163248697916667,10,0.0003,-0.1853799819946289,0.012213271,0.2
147456,0.058071427047252655,3,122.09,25,5828,-0.006747904233634472,-0.004109312254331599,-1.9157209045564134,0.0008557374325524355,0.09668375651041666,20,0.0003,0.08388388156890869,0.009446534,0.2
196608,0.1596071422100067,4,144.02,35,5608,-0.01150498166680336,-0.006082449316272687,-1.8929992922892174,0.0016749086033693553,0.098468017578125,30,0.0003,0.284704327583313,0.010037341,0.2
245760,0.31949999928474426,5,100.38,44,5488,-0.0062876371666789055,-0.01010257944259744,-1.8590302787721158,0.003217823926418835,0.14531046549479168,40,0.0003,0.39000052213668823,0.012625677,0.2
294912,0.45203572511672974,6,93.1,54,5410,-0.020391231402754784,-0.013697178782361636,-1.8095447084556022,0.007909715875333253,0.1716064453125,50,0.0003,0.4443535804748535,0.012477647,0.2
344064,0.5785357356071472,7,67.37,64,5354,-0.014234306290745735,-0.015529210658739127,-1.729298388833801,0.010680620211254184,0.1855224609375,60,0.0003,0.5702725052833557,0.012311126,0.2
393216,0.705000102519989,8,60.54,74,5313,-0.011352279223501682,-0.01823689221952615,-1.6179717528323332,0.013613042240225089,0.21019490559895834,70,0.0003,0.6220401525497437,0.01319049,0.2
442368,0.8133928775787354,9,44.23,83,5276,-0.0045820665545761585,-0.02065496036678572,-1.467760207131505,0.013773291216542324,0.240185546875,80,0.0003,0.6472634077072144,0.016563112,0.2
491520,0.8347142934799194,10,40.94,93,5246,-0.022355351597070694,-0.01904423274609144,-1.2940895115335782,0.013188066121074371,0.233819580078125,90,0.0003,0.6096618175506592,0.01712405,0.2
540672,0.8369643688201904,11,35.66,105,5104,-0.025001153349876404,-0.014517013775245384,-1.1205197699368,0.010520588611689164,0.20038655598958333,100,0.0003,0.5700411796569824,0.014381994,0.2
