time/total_timesteps,shield/actions_block_ignored,rollout/ep_len_mean,rollout/ep_rew_mean,shield/actions_allowed,time/iterations,shield/actions_blocked,time/fps,time/time_elapsed,train/learning_rate,train/value_loss,train/approx_kl,train/loss,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/explained_variance,shield_cutoff_timestep
49152,0,95.04,0.429874986410141,15477,1,5759,8556,5,,,,,,,,,,,
98304,0,72.13,0.49909764528274536,32220,2,12708,5679,17,0.0003,0.007461056394822663,0.011498649,-0.017157232388854027,10,-0.006218822089764823,-1.9349769762406746,0.07515869140625,0.2,-0.0032199621200561523,
147456,0,55.16,0.5755351781845093,50321,3,21324,5080,29,0.0003,0.009395161496649962,0.014571791,-0.016393473371863365,20,-0.014440294723317492,-1.899780093319714,0.16971842447916666,0.2,0.6626463532447815,
196608,0,48.0,0.6454530954360962,68254,4,32274,4811,40,0.0003,0.01281302112765843,0.013053283,-0.018633577972650528,30,-0.019530997919355288,-1.8528658107543985,0.20943603515625,0.2,0.7167389392852783,
245760,0,37.98,0.7098164558410645,87395,5,45014,4646,52,0.0003,0.013921006542417066,0.014795472,-0.0033315098844468594,40,-0.021417825742416123,-1.777553320241471,0.214892578125,0.2,0.718940258026123,
294912,0,8.17,0.009015625342726707,89159,6,46322,4615,63,0.0003,0.014702791116724257,0.014620724,-0.0028497050516307354,50,-0.019146677337873067,-1.6814439750586947,0.21708170572916666,0.2,0.6511500477790833,250008
344064,,15.21,0.032511722296476364,,7,,4623,74,0.0003,0.02200825230005042,0.015418987,-0.020252104848623276,60,-0.026600762390201756,-1.670451161203285,0.2754414876302083,0.2,0.4249485731124878,
393216,,38.15,0.09960546344518661,,8,,4660,84,0.0003,0.012735256063751876,0.028355608,-0.017329664900898933,70,-0.030661811529110614,-1.645911279010276,0.32437540690104166,0.2,0.42617833614349365,
442368,,42.95,0.3633515536785126,,9,,4689,94,0.0003,0.013619939855319292,0.024308285,-0.025084149092435837,80,-0.02513138431495463,-1.5536257424081366,0.24417521158854166,0.2,0.459658145904541,
491520,,37.17,0.5441953539848328,,10,,4714,104,0.0003,0.018155370719129375,0.016586026,0.005209165625274181,90,-0.025170749748212984,-1.4314766109610597,0.2537638346354167,0.2,0.47994303703308105,
540672,,30.85,0.614199161529541,,11,,4719,114,0.0003,0.020193459627625997,0.01712512,-0.030720476061105728,100,-0.02348202431979492,-1.2546424543485046,0.22908528645833334,0.2,0.5438278317451477,
